time,prediction
1,0.4021628954528733
2,0.3863637907615617
3,0.3422662690201949
4,0.29983868339738023
5,0.3643388084876664
6,0.3535657294177416
7,0.39509644159204066
8,0.36794845133587456
9,0.4387911789755786
10,0.5004936051022533
11,0.4115798576451629
12,0.40513001249213376
13,0.41535798850766226
14,0.3576727717564959
15,0.3874664913303471
16,0.3576434491245269
17,0.34932959148147524
18,0.41599063361155475
19,0.42002808304987366
20,0.4068105965442631
21,0.4164924719766776
22,0.37543398101197994
23,0.43384961145573964
24,0.44711332922109615
25,0.45400727171917465
26,0.39025746570980807
27,0.408189135686288
28,0.309452438433117
29,0.3328992650266812
30,0.3151429194528623
31,0.3321858922686125
32,0.37255852369665066
33,0.31720169280961596
34,0.34861746738294486
35,0.4355605442113105
36,0.4744991164867655
37,0.43172671584300815
38,0.4213927815459645
39,0.47794439314585296
40,0.3501880395069568
41,0.4086136625157411
42,0.3243568758519699
43,0.4033043381902773
44,0.5106143856144618
45,0.47218703962743974
46,0.39116952972846103
47,0.369866146202917
48,0.3953728811956725
49,0.38243137881855643
50,0.5607833686093678
51,0.33103349801663184
52,0.3972104419363793
53,0.35543002877356394
54,0.45998518864567106
55,0.5315236119499622
56,0.4551681362907565
57,0.3465847753105267
58,0.36326441971764634
59,0.34384746210187733
60,0.38482229256277284
61,0.47134573766769794
62,0.5222291220235585
63,0.5827582438067138
64,0.50459857357088
65,0.47023291678792356
66,0.4465579345920204
67,0.41334220529411414
68,0.5486687759436697
69,0.5377442222453223
70,0.5450689822354071
71,0.5523272823575979
72,0.6308878594241539
73,0.6207772599806094
74,0.5671735998177061
75,0.5095442666814672
76,0.5284558091821877
77,0.5345329385030428
78,0.5251082277366641
79,0.5897066543029569
80,0.5048721732666314
81,0.5506525942567435
82,0.556840198332967
83,0.6077565997836518
84,0.5336396642393731
85,0.6522892495484367
86,0.49410562494514404
87,0.593273868661629
88,0.5714079893703682
89,0.6450537641416786
90,0.5916936085420801
91,0.5351756854239682
92,0.5684070897013676
93,0.5370728026810994
94,0.5331132342413193
95,0.5056913525102786
96,0.4854361436360565
97,0.6327862632758645
98,0.6241954703918424
99,0.6312431372587144
100,0.6071379148531786
101,0.6478430138894107
102,0.5510166025452736
103,0.5906990114088164
104,0.6766992908401099
105,0.6053067639349689
